,CH10,CH9
0,132,260
1,145,200
2,129,185
3,116,142
4,96,137
5,75,134
6,97,142
7,153,139
8,192,136
9,230,129
10,249,140
11,261,144
12,275,136
13,287,145
14,292,98
15,288,36
16,289,0
17,294,0
18,296,0
19,300,0
20,294,0
21,292,0
22,293,0
23,290,34
24,289,62
25,291,78
26,0,126
27,0,1133
28,0,2185
29,0,3000
30,0,3649
31,0,4217
32,0,4658
33,0,4994
34,0,4740
35,0,3571
36,0,0
37,0,187
38,1540,55
39,0,2397
40,0,2031
41,0,358
42,0,0
43,0,0
44,0,187
45,0,201
46,0,215
47,0,228
48,0,221
49,0,207
50,0,147
51,0,139
52,0,56
53,0,89
54,0,79
55,0,78
56,0,59
57,0,130
58,0,154
59,0,0
60,0,9
61,0,7
62,0,106
63,0,110
64,0,103
65,0,126
66,0,159
67,0,190
68,0,196
69,0,229
70,27,218
71,150,257
72,330,248
73,389,244
74,379,234
75,385,231
76,466,282
77,444,284
78,306,0
79,311,0
80,327,0
81,1859,16
82,333,0
83,315,230
84,314,1388
85,308,1533
86,300,1355
87,294,1147
88,297,958
89,294,810
90,299,675
91,306,391
92,353,174
93,718,153
94,1129,140
95,1463,137
96,1625,144
97,1708,144
98,1837,150
99,2425,127
100,2815,112
101,2935,84
102,258,3180
103,279,2609
104,285,849
105,276,300
106,275,244
107,276,224
108,279,810
109,408,280
110,233,305
111,219,759
112,214,1068
113,216,1288
114,226,1203
115,248,966
116,254,1106
117,264,1319
118,274,1230
119,274,1237
120,221,1682
121,254,1467
122,288,730
123,287,590
124,291,440
125,295,883
126,358,780
127,316,227
128,333,179
129,326,148
130,322,70
131,309,66
132,389,0
133,395,0
134,367,0
135,347,0
136,332,0
137,320,0
138,312,0
139,304,0
140,297,0
141,286,0
142,286,0
143,287,0
144,289,0
145,292,0
146,297,0
147,292,0
148,291,0
149,292,0
150,293,0
151,296,0
152,302,0
153,307,0
154,297,0
155,294,0
156,302,0
157,314,0
158,329,0
159,338,0
160,340,0
161,344,0
162,358,0
163,367,0
164,362,0
165,350,0
166,342,30
167,326,7
168,317,87
169,309,122
170,308,155
171,310,129
172,310,191
173,302,226
174,301,198
175,303,208
176,353,167
177,360,159
178,372,164
179,368,157
180,372,155
181,369,156
